episode,frame,reference,rapidocr_prediction,rapidocr_latency_ms,rapidocr_v5_mobile_prediction,rapidocr_v5_mobile_latency_ms,rapidocr_v5_server_prediction,rapidocr_v5_server_latency_ms,rapidocr_v6_medium_prediction,rapidocr_v6_medium_latency_ms
short_down1,short_down1_frame_001.png,今日,今日,997,今日,977,今日,3833,今日,4342
short_down1,short_down1_frame_002.png,继续睡觉,继续睡觉,1057,继续睡觉,905,继续睡觉,3669,继续睡觉,4043
short_down1,short_down1_frame_003.png,那小师弟,那小师弟,1058,那小师弟600000600,1013,那小师弟,3799,那小师弟SOCOO600,4357
short_down1,short_down1_frame_004.png,姻缘,姻缘,945,姻缘,560,姻缘,3639,姻缘,4013
short_down1,short_down1_frame_005.png,死气,三气,1009,三气,849,三气,3702,三气,4139
short_down1,short_down1_frame_006.png,为了救她,为了救她,1063,为了救她,846,为了救她,3663,为了救她,4068
short_down1,short_down1_frame_007.png,她就能,她就能,1094,她就能,1013,她就能,3665,她就能,4077
short_down1,short_down1_frame_008.png,你这不是,你这不是,1045,你这不是,907,你这不是,3712,你这不是,4069
short_down1,short_down1_frame_009.png,别哭了,別哭了,1071,別哭了,873,别哭了,3703,别哭了,4103
short_down1,short_down1_frame_010.png,为师,为师,991,为师,766,为师,4149,为师,4260
short_down1,short_down1_frame_011.png,想不到,想不到,1192,想不到,946,想不到,3720,想不到,4112
short_down1,short_down1_frame_012.png,你放心,你放心,984,你放心,808,你放心,3758,你放心,4176
short_down1,short_down1_frame_013.png,师傅,师傅,974,师傅,414,144644444445666师傅,4663,师傅,4174
short_down1,short_down1_frame_014.png,去吧,去吧,1030,去吧,1149,去吧,3704,去吧,4003
short_down1,short_down1_frame_015.png,为老不尊,为老不草,1007,为老不尊,715,为老不尊,3726,为老不尊,4330
short_down1,short_down1_frame_016.png,真好看,真好看,1000,真好看,755,真好看,4070,真好看,4106
short_down1,short_down1_frame_017.png,黄金呢,黃金呢,1129,黃金呢,683,黃金呢,3728,黄金呢,4098
short_down1,short_down1_frame_018.png,美艳富婆,美艳富婆吃乳鸽便SHI BOLDING,1308,美艳富婆使SHIBCLDINA,995,美艳富婆吃乳鸽使楼SHIBCLDING兑咖,5157,美艳富婆吃乳鸽使楼SHIBOLDING克咖,4815
short_down1,short_down1_frame_019.png,三,,859,,849,三,3685,三CCECREECO,4249
short_down1,short_down1_frame_020.png,徒儿,徒儿,499,徒儿,991,徒儿,3670,徒儿,4126
short_down1,short_down1_frame_021.png,秦总,秦总,982,秦总,1232,秦总,3694,秦总,4131
short_down1,short_down1_frame_022.png,我,我,1034,我,978,我,3662,我,4304
short_down1,short_down1_frame_023.png,徒手捏死,徒手捏三,1048,徒手捏三,804,徒手捏三,3671,徒手捏三,4039
short_down1,short_down1_frame_024.png,这么多人,这么多人,988,这么多人,757,这么多人,3696,这么多人,4121
short_down2,short_down2_frame_001.png,对呀,对呀,1070,对呀000600606000,669,对呀,3814,对呀,4068
short_down2,short_down2_frame_002.png,这女人,这女人,913,这女人,892,这女人,3679,这女人,4141
short_down2,short_down2_frame_003.png,我是在,我是在,1121,我是在,872,我是在,3785,我是在,4197
short_down2,short_down2_frame_004.png,找这些人,找这些人,952,找这些人,839,找这些人,3784,找这些人,4032
short_down2,short_down2_frame_005.png,会破坏,会破坏,978,会破坏,711,会破坏,3692,会破坏,4179
short_down2,short_down2_frame_006.png,五官端正,五官端正,1201,五官端正,907,五官端正,3685,五官端正,4059
short_down2,short_down2_frame_007.png,身体健康,身体健康,1034,身体健康,994,身体健康,3662,身体健康,4079
short_down2,short_down2_frame_008.png,又聪明,又聪明,1044,又聪明,792,又聪明,3739,又聪明,4103
short_down2,short_down2_frame_009.png,您不是在,您不是在,1079,您不是在,964,您不是在,3706,您不是在,3945
short_down2,short_down2_frame_010.png,我接了,我接,1081,地址：江州广场（具体见面地点评信全程保密，签订我接为续家族香火文卖国身体李人卖,1528,办广告真奖有理具体见面地点详江州广场地址：程保密保障双方权益成功受孕即付三千万现金正规协议我接了身体健康为续家旗香火家值优源文夫国身体原因本人美绝水,10306,+地址：江州广场（具体见面地点评锁全程保密，签订成动受孕即付三千万现金，正规协议，保障双方权益我接了为续家族香火丈夫国身体原因本人美艳木,6125
short_down2,short_down2_frame_011.png,我图省事,我图省事,939,我图省事,621,我图省事,3718,我图省事,4179
short_down2,short_down2_frame_012.png,秦总,秦总,1125,秦总,936,秦总,3705,秦总,4200
short_down2,short_down2_frame_013.png,立刻,立刻,1099,立刻,1010,立刻,4114,立刻,4195
short_down2,short_down2_frame_014.png,是,是,1219,是,775,是,4429,是,4146
short_down2,short_down2_frame_015.png,我要的,我要的,995,我要的,895,我要的,3624,我要的,4048
short_down2,short_down2_frame_016.png,能扛刺杀,能扛刺杀,1092,能扛刺杀,915,能扛刺杀,3747,能扛刺杀,4125
short_down2,short_down2_frame_017.png,你,ecceec你eecseco,1299,你,877,你,3820,SeCCCEeCE你,4289
short_down2,short_down2_frame_018.png,保镖嘛,保镖嘛,1008,保镖嘛,1039,保镖嘛,3745,保镖嘛,4187
short_down2,short_down2_frame_019.png,我更擅长,我更擅长,1069,我更擅长,788,我更擅长,3691,我更擅长,4111
short_down2,short_down2_frame_020.png,小子,小子,1096,小子,860,小子,4118,小子,4109
short_down2,short_down2_frame_021.png,杀出来的,杀出来的,1057,杀出来的,729,杀出来的,3847,杀出来的,4172
short_down2,short_down2_frame_022.png,不错,ARFIGHTKINMUAY THA不错,949,ARFIGHTKINI下错,892,ARFIGHTKINI不错,5482,ARFIGHTKINGMUAA不错,4477
short_down2,short_down2_frame_023.png,和无数次,和无数次,970,和无数次,988,和无数次,3660,和无数次,4052
short_down2,short_down2_frame_024.png,嘴上说说,ERFARFIGHTKINGMUAY.THA!嘴上说说,1218,ARFIGHTKING说说,950,ARFIGHTKINGMUAY THAI嘴上说说,4746,小ARFIGHTKINGUA嘴上说说1,4902
short_down6,short_down6_frame_001.png,算你过关,算你过关,845,算你过关,825,算你过关,3755,算你过关,4071
short_down6,short_down6_frame_002.png,滚出去,滚出去,1031,滚出去,857,滚出去,3650,滚出去,4159
short_down6,short_down6_frame_003.png,真凶悍,真凶悍,1027,真凶悍,854,真凶悍,3687,真凶悍,4179
short_down6,short_down6_frame_004.png,要纸吗,要纸吗,1001,要纸吗,685,要纸吗,3655,要纸吗,4161
short_down6,short_down6_frame_005.png,都杀不了,都杀不了,1075,都杀不,503,都杀不了,3798,都杀不了,4054
short_down6,short_down6_frame_006.png,哎呀爸,哎呀爸,968,哎呀爸,931,哎呀爸,4226,哎呀爸,4085
short_down6,short_down6_frame_007.png,还可以,还可以,998,还可以,776,还可以,4122,还可11,4444
short_down6,short_down6_frame_008.png,得到她,得到她,1013,得到她,578,得到她,3957,得到她,4109
short_down6,short_down6_frame_009.png,放心吧爸,放心吧爸,953,放心吧爸,754,放心吧爸,3849,放心吧爸,4209
short_down6,short_down6_frame_010.png,好的秦总,好的秦总,1054,好的秦总,843,好的秦总,3736,好的秦总,4139
short_down6,short_down6_frame_011.png,来,来,1085,来,960,来,4149,来,3995
short_down6,short_down6_frame_012.png,过来呀,过来呀,1043,过来呀,912,7过来呀,4117,过来呀,4231
short_down6,short_down6_frame_013.png,怎,怎,1176,怎,908,怎,4009,怎,4140
short_down6,short_down6_frame_014.png,眉梢带喜,眉梢帯喜,1074,眉梢带喜,1107,眉梢带喜,3713,眉梢带喜,4343
short_down6,short_down6_frame_015.png,扣工资,扣工资,1047,扣工资,698,扣工资,3714,扣工资,4114
short_down6,short_down6_frame_016.png,改天,改天,1139,改天,535,改天,3779,改天,4144
short_down6,short_down6_frame_017.png,好帅啊,好帅啊,982,好帅啊,939,好帅啊,4066,好帅啊,3987
short_down6,short_down6_frame_018.png,几位美女,几位美女,1205,几位美女,966,几位美女,3669,几位美女,4096
short_down6,short_down6_frame_019.png,看手相,看手相,1014,看手相,788,看手相,3761,看手相,4062
short_down6,short_down6_frame_020.png,只要,只要,757,只要,787,只要,3696,只要,3982
short_down6,short_down6_frame_021.png,哎呀少爷,哎呀少爷,1104,哎呀少爷,944,哎呀少爷,3818,哎呀少爷,4122
short_down6,short_down6_frame_022.png,这一次,这一次,1051,这一次,926,这一次,4064,这一次,4118
short_down6,short_down6_frame_023.png,怎么样,怎么样,1158,怎么样,1042,怎么样,3687,怎么样,4228
short_down6,short_down6_frame_024.png,闲人免进,闲人免进,1019,闲人免进,1135,闲人免进,3673,闲人免进,4112
short_ghost5,short_ghost5_frame_001.png,分开走,ml分开走,1126,Tii分开走,978,mi分开走,5374,1i分开走,5096
short_ghost5,short_ghost5_frame_002.png,路过宝地,路过宝地,1147,路过宝地,910,路过宝地,4392,路过宝地,4483
short_ghost5,short_ghost5_frame_003.png,莫在此地,莫在此地,1019,莫在此地,959,-A莫在此地,4773,莫在此地,4577
short_ghost5,short_ghost5_frame_004.png,拿了香火,拿了香火,1154,拿了香火,926,拿了香火,4972,拿了香火,4574
short_ghost5,short_ghost5_frame_005.png,各自安息,各自安息,1086,各自安息,869,各自安息,4144,各自安息,4625
short_ghost5,short_ghost5_frame_006.png,太上敕令,太上敕令,1078,太上敕令,567,太上敕令,4499,太上敕令,4548
short_ghost5,short_ghost5_frame_007.png,径通幽冥,径通幽冥,1119,径通幽冥,942,径通幽冥,4208,径通幽冥,4680
short_ghost5,short_ghost5_frame_008.png,一盏清香,一盏清香,1073,盏清香,890,一盏清香,4492,一盏清香,4610
